#《孟子音義》中古音及中州音
# 孟子音義 in Middle Chinese and Classical Mandarin.
# author: hhliow (github.com/hhliow)
# license: cc by-nc-sa 4.0
# Middle Chinese is in Baxter transcription. Mandarin pronunciation follows the system of 洪武正韻譯訓.
# Compiled by hhliow.
# Work in progress.

孟子音義 宋 孫奭 撰
volume_index	chapter_index	is_new_entry	char	mc	mandarin
2	4	YES	為	hjweH	ǔi
2	4		之		
2	4		赴		
2	4		難	nanH	nǎn
2	4	YES	朝		
2	4		儛	mjuX	vû
2	4	YES	放	pjangX	fɑ̂ŋ
2	4	YES	琅	lang	lɑ̏ŋ
2	4	YES	邪	yae	jiɛ̏
2	4	YES	王		
2	4		觀	kwanH?	kwɔ̌n?
2	4	YES	其		
2	4		相	sjangH	siɑ̌ŋ
2	4	YES	春		
2	4		省	sjengX	sîŋ
2	4	YES	從	tshjowng	tsʰyuŋ
2	4		容		
2	4	YES	睊	kwen	kyuɛn
2	4		睊	kwen	kyuɛn
2	4	YES	慝	thok	tʰək
2	4	YES	湎	mjienX	miɛ̂n
2	4	YES	蹯	bjon	fʱȁn
2	4	YES	行	haengH	ɦǐŋ
2	4		也		
2	4	YES	無		
2	4		厭	’jiem?	ʔiɛm?
2	4	YES	公		
2	4		説	ywet	jyuɛ̏t
2	4	YES	徴		
2	4		招	dzyew	ʃʱiɛ̏w
2	4	YES	畜	xjuwk	hyuk
2	4		君		
2	5	YES	孥	nu	nȕ
2	5	YES	譏		
2	5		難	nanH	nǎn
2	5	YES	惡	’uH	ʔǔ
2	5		惡	’ak	ʔɒk
2	5	YES	哿	kaX	kɔ̂
2	5		矣		
2	5	YES	煢	gjwieng	kʱyuə̏ŋ
2	5	YES	糇	huw	hə̏w
2	5	YES	橐	thak	tʰɒk
2	5	YES	思		
2	5		戢	dzip	dzȉp
2	5	YES	啓		
2	5		行	hang	ɦɑ̏ŋ
2	5	YES	裹		
2	5		盛	dzyeng	tʃʱȉŋ
2	5	YES	滸	xuX	hû
2	5	YES	恂	swin	syun
2	6	YES	比	pjijH	pǐ
2	6		其		
2	6	YES	無		
2	6		墮	xjwie/dwaX	hui/dwɔ̌'
2	7	YES	舎	syaeX	ʃiɛ̂
2	7		之		
2	7	YES	防		
2	7		比	bjijH	bǐ
2	7	YES	核		
2	7	YES	惡	’ak’/uH	ʔɒk/ʔǔ
2	7		直		
2	7	YES	大		
2	7		辟	bjiek	bȉk
2	9	YES	舎	syaeX	ʃiɛ̂
2	9		女	nyoX	ʒŷ
2	9	YES	人		
2	9		少	syewH	ʃiɛ̌w
2	9	YES	鎰	yit	jȉt
2	10	YES	簞	tan	tan
2	10		食	ziH	s⁽ʱ⁾ɨ̌
2	11	YES	霓	ngej	ŋȉ
2	11	YES	徯	hejX	ɦǐ'
2	11	YES	係	kejH	kǐ
2	11		累	lwij	lȕi
2	11	YES	并		
2	11		燕		
2	11	YES	旄	maw	mȁw
2	11		倪	ngej	ŋȉ
2	11	YES	繄	’ej	ʔi
2	11	YES	夫	bju	fʱȕ
2	11		將		
2	12	YES	魯		
2	12		鬨	huwngH/haewngH	ɦǔŋ/ɦiɑ̌ŋ
2	12	YES	長	trjangX	tʃiɑ̂ŋ
2	12		上		
2	12	YES	軍		
2	12		率	srwijH	ʂwǔi/ʂwǎi
2	12	YES	忿	phjunX	fûn
2	12	YES	阨	’eak	ʔək
2	13	YES	無		
2	13		已	yiX	jî
2	14	YES	以		
2	14		偪	pik	pik
2	14	YES	以		
2	14		遺	ywijH	ǔi
2	15	YES	貉	hak	ɦɒ̏k
2	15	YES	乃		
2	15		屬	tsyowk	tʃyuk
2	16	YES	鼎		
2	16		與	yo	jy̏
2	16	YES	曰		
2	16		否	pjuwX	fôw
2	16	YES	沮	dzjoX	dzŷ
2	16	YES	尼	nrit	nȉt
2	16		之		
2	16	YES	焉	’jen	ʔiɛn
2	16		能		
3	1	YES	可		
3	1		復	bjuwH	fʱǒw
3	1	YES	蹵	tsjuwk	tsyuk
3	1	YES	踖	tsjek	tsik
3	1	YES	艴	bwot/phjut	bȕt/fut
3	1	YES	何		
3	1		曽	tsong	tsəŋ
3	1	YES	愠	’junH	ʔyǔn
3	1	YES	不		
3	1		帥	srwit	?ʂut
3	1	YES	重	drjowngH	dʒyǔŋ
3	1		言		
3	1	YES	為	hjweH	ǔi
3	1		我		
3	1	YES	為		
3	1		與	yo	jy̏
3	1	YES	以		
3	1		齊		
3	1		王	hjwangH	wɑ̌ŋ
3	1	YES	由		
3	1		反		
3	1		手		
3	1	YES	易	yeH	jǐ
3	1		然		
3	1	YES	丁		
3	1		朝	drjew	tʃʱiɛ̏w
3	1	YES	膠		
3	1		鬲	keak/lek	kək/lȉk
3	1	YES	輔		
3	1		相	sjangH	siɑ̌ŋ
3	1	YES	鎡	tsi	tsɨ
3	1		基		
3	1	YES	改		
3	1		辟	bjiek	bȉk
3	1	YES	郵	hjuw	jiȍw
3	2	YES	畏		
3	2		難	nanH	nǎn
3	2	YES	我		
3	2		四		
3	2		十		
3	2		不		
3	2		動		
3	2		心		
3	2	YES	賁	pwon	pun
3	2	YES	黝	’jiwX	ʔiôw
3	2	YES	橈	nraewH	nǎw
3	2	YES	百		
3	2		行	haengH	ɦǐŋ
3	2	YES	要	’jiew	ʔiɛw
3	2		之		
3	2	YES	子		
3	2		好	xawH	hǎw
3	2	YES	吾		
3	2		不		
3	2		惴	tsyweH	ʈʂǔi
3	2		焉		
3	2	YES	之		
3	2		帥	srwijH/srwit	ʂǔi/ʂwǎi/ʂut
3	2	YES	度	dak	dɒ̏k
3	2	YES	蹶	kjwot/kjwejH	kyuɛt
3	2	YES	顛	ten	tiɛn
3	2		倒		
3	2	YES	惡	’u	ʔu
3	2		乎		
3	2	YES	所		
3	2		趨	tshjuH	tsʰy̌
3	2	YES	無		
3	2		是		
3	2		餒	nwojX	nûi
3	2		也		
3	2	YES	慊	khemX	kʰiɛ̂m
3	2	YES	助		
3	2		長	trjangX	tʃiɑ̂ŋ
3	2	YES	揠	’eat	ʔiat
3	2	YES	芒	mang	mɑ̏ŋ
3	2		芒	mang	mɑ̏ŋ
3	2	YES	亟	kik	kik
3	2	YES	罷	bje	pʱȉ
3	2	YES	舎	syaeX	ʃiɛ̂
3	2		之		
3	2	YES	詖	pjeH	pǐ
3	2	YES	自		
3	2		斷	twanX	twɔ̂n
3	2	YES	以		
3	2		譽	yo/yoH	jy̏/jy̌
3	2	YES	麗	lje	lȉ
3	2		姬		
3	2	YES	邪		
3	2		辟	phjiek	pʰik
3	2	YES	廋	srjuw	ʂow
3	2	YES	説	sywejH/sywet	ʂǔi/ʃyuɛt
3	2		辭		
3	2	YES	夫	bju	fʱȕ
3	2		聖		
3	2	YES	汙	’wae	ʔwa
3	2	YES	垤	det	diɛ̏t
3	2	YES	行		
3	2		潦	law'	lâw
3	2	YES	大	thajH	tʰǎi
3	2		過		
3	4	YES	惡	’uH	ʔǔ
3	4		辱		
3	4	YES	榮		
3	4		樂	lak	lɒ̏k
3	4	YES	居		
3	4		埤	pjie	pi
3	4	YES	閒	hean	ɦiȁn
3	4		暇		
3	4	YES	徹	drjet	dʒiɛ̏t
3	4	YES	桑		
3	4		土	duX	dǔ'
3	4	YES	綢	drjuw	tʃʱiȍw
3	4		繆	mjiw	miȍw
3	4	YES	鴟	tsyhij	tʃʰɨ
3	4	YES	鴞	hjew	hjɛw?
3	4	YES	般	ban	pʱwɔ̏n
3	4		樂		
3	4	YES	怠		
3	4		敖	ngaw/ngawH	ŋȁw/ŋǎw
3	4	YES	孼	ngjet	ŋiɛ̏t
3	4	YES	不		
3	4		可		
3	4		活	hwat/hwanH	ɦwɔ̏t/ɦwɔ̌n
3	4	YES	雊	kuwH	kǒw
3	5	YES	㕓	drjen	tʃʱiɛ̏n
3	5	YES	願		
3	5		藏	dzang	tsʱɑ̏ŋ
3	5	YES	不		
3	5		横	hwaengH	ɦwə̏ŋ
3	5	YES	氓	maeng	mə̏ŋ
3	6	YES	怵	trhwit	tʃʰyt
3	6		惕		
3	6	YES	内	nop	nȁp
3	6		交		
3	6	YES	羞		
3	6		惡	’uH/’ak	ʔǔ/ʔɒk
3	6	YES	為		
3	6		行	haengH	ɦǐŋ
3	6	YES	擴	kwak/xwak	kwɒk/hwɒk
3	7	YES	函	hom	ɦȁm
3	7	YES	鎧	khojH/khojX	kʰǎi/kʰâi
3	7	YES	祝	tsyuwk/tsyuwH	tʃyuk/tʃiǒw.
3	7	YES	蚤		
3	7		售		
3	7	YES	不		
3	7		中	trjuwngH	tʃyǔŋ
3	8	YES	讜	tangX	tɑ̂ŋ
3	9	YES	推		
3	9		惡	’uH	ʔǔ
3	9	YES	浼	mwojX/mwanX	mûi/mwɔ̂n
3	9	YES	汙	’uH	ʔǔ
3	9		也		
3	9	YES	就		
3	9		已	yiX	jî
3	9	YES	遺		
3	9		佚	yit	jȉt
3	9	YES	阨	’eak	ʔək
3	9		窮		
3	9	YES	袒	danX	dǎn'
3	9		裼	sek	sik
3	9		裸	lwaX	lwɔ̂
3	9		裎	drjeng	tʃʱȉŋ
3	9	YES	焉	’jen	ʔiɛn
3	9		能		
3	9	YES	懣	manX/mwonX	mwɔ̂n/mûn
3	9		也		
3	9	YES	援		
3	9		而		
3	9		止		
3	9		之		
3	9	YES	憚	danH	dǎn
3	9	YES	儷	lejH	lǐ
3	9	YES	絀	trhwit	tʃʰyt
3	9	YES	伯		
3	9		夷		
3	9		隘	’eaH	ʔiǎi
3	9	YES	彈	dan	tʱȁn
3	9		正		
3	9	YES	介		
3	9		者		
4	1	YES	王	hjwangH	wɑ̌ŋ
4	1		相	sjangH	siɑ̌ŋ
4	1	YES	和		
4	1		樂	lak	lɒ̏k
4	1	YES	不		
4	1		下	haeH	ɦiǎ
4	1	YES	馮	bing	pʱȉŋ
4	1	YES	寡		
4	1		助		
4	1		之		
4	1		至		
4	1	YES	畔	banH	bwɔ̌n
4	1		之		
4	2	YES	惡	’u	ʔu
4	2		寒		
4	2	YES	造	tshawH	tsʰǎw
4	2		朝		
4	2	YES	之		
4	2		從	dzjowngH	dzyǔŋ
4	2	YES	數	srjuX?	ʂû?
4	2		人		
4	2		要	’jiew	ʔiɛw
4	2	YES	曰		
4	2		惡	’u	ʔu
4	2	YES	宜		
4	2		與	yo	jy̏
4	2	YES	慊	khemX	kʰiɛ̂m
4	2	YES	長	trjangX	tʃiɑ̂ŋ
4	2		民		
4	2	YES	好	xawH	hǎw
4	3	YES	餽	gwijH	gǔi
4	3	YES	贐		
4	3	YES	為	hjweH	ǔi
4	3		兵		
4	3	YES	可		
4	3		鬻	yuwk	jyȕk
4	3	YES	有		
4	3		處	tsyhoX	tʃʰŷ
4	3	YES	焉	’jen	ʔiɛn
4	3		有		
4	4	YES	則		
4	4		去	khjoX	kʰŷ
4	4		之		
4	4	YES	其		
4	4		行	hang	ɦɑ̏ŋ
4	4	YES	幾	kj+jX/gj+j	kî/kʱȉ
4	4		千		
4	4	YES	賑	tsyinH	tʃǐn
4	4	YES	素		
4	4		餐	tshan	tsʰan
4	5	YES	蚔	drij	tʃʱȉ
4	5	YES	鼃	’wae/’wea	ʔwa
4	5	YES	先	senH	siɛ̌n
4	5		後	huwH	ɦǒw
4	5	YES	毋	mju	vȕ
4	5		使		
4	5	YES	不		
4	5		中	trjuwngH	tʃyǔŋ
4	5	YES	藉		
4	5		道		
4	6	YES	蓋	kap	kɔp
4	6		大		
4	6		夫		
4	6	YES	王		
4	6		驩	xwan	hwɔn
4	6	YES	同		
4	6		使	sriH	ʂɨ̌
4	6	YES	相		
4	6		比	bjijH/pjijX	bǐ/pî
4	6	YES	曰		
4	6		夫	bju	fʱȕ
4	6	YES	危		
4	6		行	haengH	ɦǐŋ
4	7	YES	稱	tsyhingH	tʃʰǐŋ
4	7		之		
4	7	YES	翣	sraep	ʂap
4	7	YES	辟	bjieH	bǐ
4	7		世		
4	7	YES	度	dak	dɒ̏k
4	7		而		
4	7	YES	不		
4	7		可		
4	7		稱	tsyhing	tʃʰiŋ
4	7	YES	且		
4	7		比	pjijH	pǐ
4	7	YES	恔	haewH	ɦiǎw
4	7		乎		
4	8	YES	沈	syimX	ʃîm
4	8		同		
4	8	YES	子		
4	8		噲	khwaejH	kʰwǎi
4	9	YES	監	kaem	kiam
4	9	YES	更	kaeng	kəŋ/kiəŋ
4	9		也		
4	10	YES	龍	ljowngX?	lûŋ?
4	10		斷	dwanX/twanX	dwɔ̌n'/twɔ̂n
4	10	YES	堁	khwaH/khwojH	kʰwɔ̌/kʰǔi
4	11	YES	隱		
4	11		几		
4	11	YES	齊	tsreaj	ʈʂai
4	11		宿		
4	11	YES	語	ngjoH	ŋy̌
4	11		子		
4	11	YES	魯		
4	11		繆	mjuwk	mȕk
4	11	YES	愠	’junH	ʔyǔn
4	12	YES	豈		
4	12		舎	syaeX	ʃiɛ̂
4	12	YES	悻	hengX/heangX/kheang	ɦǐŋ'/kʰəŋ
4	12		悻		
4	12	YES	見	henH	ɦiɛ̌n
4	12		於		
4	12	YES	狷	kwenh	kyuɛ̌n
4	12	YES	恚	’jwieH	ʔǔi/ɦǔi
4	14	YES	宿	sjuwH	siǒw
4	14		留	ljuwH	liǒw
4	14	YES	食		
4	14		功		
5	1	YES	使	sriH	ʂɨ̌
5	1		於		
5	1	YES	考		
5	1		公		
5	1		麇	kwin	kyun
5	1	YES	相		
5	1		直	driH	dʒǐ
5	1	YES	復	bjuwH	fʱǒw
5	1		見		
5	1	YES	重	drjowngH	dʒyǔŋ
5	1		受		
5	1	YES	覸	keanH/hean	kiǎn/ɦiȁn
5	1	YES	瞑	menH	miɛ̌n
5	1		眩	hwenH	ɦyuɛ̌n
5	1	YES	瞑	menH/ten	miɛ̌n/tiɛn
5	1		眩		
5	1		憒	kwojH/hwojH	kǔi/ɦǔi
5	1		亂		
5	1	YES	景		
5	1		行	haengH	ɦǐŋ
5	1	YES	論		
5	1		語		
5	1		曰		
5	1		力		
5	1		行		
5	1		近	gj+nH	gǐn
5	1		仁		
5	2	YES	𪗋	tsij	tsɨ
5	2	YES	䟽	srjo	ʂu
5	2	YES	飦	tsyen	tʃiɛn
5	2	YES	縗	tshwoj	tsʰui
5	2	YES	𩞁	mje	mȉ
5	2	YES	更	kaeng	kəŋ
5	2		也		
5	2	YES	好	xawH	hǎw
5	2		馳		
5	2	YES	為	hjweH	ǔi
5	2		我		
5	2	YES	歠	tsyhwet	tʃʰyuɛt
5	2	YES	帥	srwit	?ʂut
5	3	YES	督		
5	3		趣	tshjowk	tsʰyuk/tsʰuk
5	3	YES	于		
5	3		茅		
5	3	YES	索	sak	sɒk
5	3		綯	daw	tʱȁw
5	3	YES	亟	kik	kik
5	3		其		
5	3		乘		
5	3		屋		
5	3	YES	閒	hean	ɦiȁn
5	3		暇		
5	3	YES	放		
5	3		辟	phjiek	pʰik
5	3	YES	邪		
5	3		侈		
5	3	YES	罔		
5	3		民		
5	3	YES	徹	drjet	dʒiɛ̏t
5	3	YES	受		
5	3		禪	dzyenH	ʃʱiɛ̌n
5	3	YES	校		
5	3		數	srjuX	ʂû
5	3	YES	有		
5	3		易	yeH	jǐ
5	3	YES	樂	lak	lɒ̏k
5	3		歲		
5	3	YES	棄		
5	3		捐	ywen	jyuɛ̏n
5	3	YES	盻	ngejX/pheanH/xit	(ŋ)jî/pʰǎn/hit
5	3		盻	ngejX/pheanH/xit	(ŋ)jî/pʰǎn/hit
5	3	YES	以		
5	3		養	yangH	jiɑ̌ŋ
5	3	YES	稱	tsyhing	tʃʰiŋ
5	3		貸	?thok	?tʰək
5	3	YES	惡	’u	ʔu
5	3		在		
5	3	YES	養		
5	3		食	ziH	s⁽ʱ⁾ɨ̌
5	3	YES	未		
5	3		任	nyim	ʒȉm
5	3	YES	雨	hjuH	jy̌
5	3		我		
5	3	YES	學		
5	3		校	haewH	ɦiǎw
5	3	YES	射	zyaeH	ʃʱiɛ̌
5	3		也		
5	3	YES	各		
5	3		去	khjoX	kʰŷ
5	3	YES	汙	’uH/’u	ʔǔ/ʔu
5	3		吏		
5	3	YES	長	trjangX	tʃiɑ̂ŋ
5	3		爭		
5	3	YES	絀	trhwit	tʃʰyt
5	3	YES	田		
5	3		萊	loj	lȁi
5	3	YES	夫	pju	fu
5	3		圭		
5	3		田		
5	3	YES	磽	khaew	kʰiaw
5	3	YES	别	pjet	piɛt
5	3		野		
5	3	YES	勠	ljuwk	lȕk
5	3	YES	師		
5	3		知	trjeH	tʃǐ
5	4	YES	許		
5	4		行	haeng/haengH	ɦȉŋ/ɦǐŋ
5	4	YES	踵	tsyowngX	tʃyûŋ
5	4	YES	氓	maeng	mə̏ŋ
5	4	YES	衣	’j+jH	ʔǐ
5	4		褐		
5	4	YES	捆	khwonX	kʰûn
5	4		屨		
5	4	YES	叩		
5	4		㧻	traewk	ʈʂwɒk
5	4	YES	陳		
5	4		相	sjangH/sjang	siɑ̌ŋ/siɑŋ
5	4	YES	饔	’jowng	ʔyuŋ
5	4	YES	飱	swon	sun
5	4	YES	當	tangH	tɑ̌ŋ
5	4		身		
5	4	YES	粗	tshu	tsʰu
5	4		布		
5	4	YES	之		
5	4		與	yo	jy̏
5	4	YES	舎	syaeH	ʃiɛ̌
5	4		皆		
5	4	YES	路		
5	4		也		
5	4	YES	羸	ljwe/lwaX	lȕi/lwɔ̂
5	4		路		
5	4	YES	食	ziH	s⁽ʱ⁾ɨ̌
5	4		人		
5	4	YES	食	zyik	ʃʱȉk
5	4		於		
5	4		人		
5	4	YES	氾	phjomH	fǎm
5	4		濫		
5	4	YES	偪	pik	pik
5	4	YES	瀹	yak	jiɒ̏k
5	4		濟	tsejX	tsî
5	4		漯	thop	tʰap
5	4	YES	呱	ku	ku
5	4	YES	使		
5	4		契	sjet	siɛt
5	4	YES	放	pjangX	fɑ̂ŋ
5	4		勲		
5	4	YES	曰	njit?	ʒȉt?
5	4	YES	勞	lawH	lǎw
5	4		之		
5	4		來	lojH	lǎi
5	4		之		
5	4	YES	不		
5	4		與	yoH/yoX	jy̌/jŷ
5	4		焉		
5	4	YES	倍	bwojH	bǔi
5	4		之		
5	4	YES	治		
5	4		任	nyim	ʒȉm
5	4	YES	强	gjangX	giɑ̌ŋ'
5	4	YES	暴	buwk	bȕk
5	4		之		
5	4	YES	皜	kawX	kâw
5	4	YES	質		
5	4		放	pjangX	fɑ̂ŋ
5	4	YES	鴃	kwet/kwek	kyuɛt/kyuək
5	4		舌		
5	4	YES	鳴		
5	4		鴃	kwek	kyuək
5	4	YES	大	thajH	tʰǎi
5	4		古		
5	4	YES	閟	pijH	pǐ
5	4		宫		
5	4	YES	膺		
5	4		擊		
5	4	YES	懲		
5	4		艾	ngjojH	ŋǐ
5	4	YES	市		
5	4		賈	kaeH	kiǎ
5	4	YES	倍		
