#《禮記·中庸》中古音及中州音
# v20190526
# author: hhliow (github.com/hhliow)
# license: cc by-nc-sa 4.0
char	middle_chinese	mandarin	reference
地	dijH	di˨˦	
位	hwijH	ui˨˦	
焉。	hjen	jiɛn˩	
萬	mjonH	van˨˦	
物	mjut	vuʔ(t)˩	
育	yuwk	jyuʔ(k)˩	
焉。	hjen	jiɛn˩	
仲	drjuwngH	dʒyuŋ˨˦	
尼	nrij	ni˩	
曰。	hjwot	jyuɛʔ(t)˩	
君	kjun	kyun	
子	tsiX	tsɨ˥˧	
中	trjuwng	tʃyuŋ	
庸。	yowng	jyuŋ˩	
小	sjewX	siɛw˥˧	
人	nyin	ʒin˩	
反	pjonX	fan˥˧	
中	trjuwng	tʃyuŋ	
庸。	yowng	jyuŋ˩	
君	kjun	kyun	
子	tsiX	tsɨ˥˧	
之	tsyi	tʃɨ	
中	trjuwng	tʃyuŋ	
庸	yowng	jyuŋ˩	
也。	yaeX	jiɛ˥˧	
君	kjun	kyun	
子	tsiX	tsɨ˥˧	
而	nyi	ɻ˩	
時	dzyi	ʃʱɨ˩	
中。	trjuwng	tʃyuŋ	
小	sjewX	siɛw˥˧	
人	nyin	ʒin˩	
之	tsyi	tʃɨ	
反	pjonX	fan˥˧	
中	trjuwng	tʃyuŋ	
庸	yowng	jyuŋ˩	
也。	yaeX	jiɛ˥˧	
小	sjewX	siɛw˥˧	
人	nyin	ʒin˩	
而	nyi	ɻ˩	
無	mju	vu˩	
忌	giH	gi˨˦	
憚	danH	dan˨˦	【音義】
也。	yaeX	jiɛ˥˧	
子	tsiX	tsɨ˥˧	
曰。	hjwot	jyuɛʔ(t)˩	
中	trjuwng	tʃyuŋ	
庸	yowng	jyuŋ˩	
其	gi	kʱi˩	
至	tsyijH	tʃɨ˨˦	
矣	hiX	ji˥˧	
乎。	hu	ɦu˩	
民	mjin	min˩	
鮮	sjenX	siɛn˥˧	【音義】【集註】
能	nong	nəŋ˩	
久	kjuwX	kiw˥˧	
矣。	hiX	ji˥˧	
子	tsiX	tsɨ˥˧	
曰。	hjwot	jyuɛʔ(t)˩	
道	dawX	daw'˨˦	
之	tsyi	tʃɨ	
不	pjuw	puʔ(t)	
行	haeng	ɦiŋ˩	
也。	yaeX	jiɛ˥˧	
我	ngaX	ŋɔ˥˧	
知	trje	tʃi	
之	tsyi	tʃɨ	
矣。	hiX	ji˥˧	
知	trjeH	tʃi˨˦	【音義】【集註】
者	tsyaeX	tʃiɛ˥˧	
過	kwaH	kwɔ˨˦	
之。	tsyi	tʃɨ	
愚	ngju	ŋy˩	
者	tsyaeX	tʃiɛ˥˧	
不	pjuw	puʔ(t)	
及	gip	giʔ(p)˩	
也。	yaeX	jiɛ˥˧	
道	dawX	daw'˨˦	
之	tsyi	tʃɨ	
不	pjuw	puʔ(t)	
明	mjaeng	miŋ˩	
也。	yaeX	jiɛ˥˧	
我	ngaX	ŋɔ˥˧	
知	trje	tʃi	
之	tsyi	tʃɨ	
矣。	hiX	ji˥˧	
賢	hen	ɦiɛn˩	
者	tsyaeX	tʃiɛ˥˧	
過	kwaH	kwɔ˨˦	
之。	tsyi	tʃɨ	
不	pjuw	puʔ(t)	
肖	sjewH	siɛw˨˦	【音義】
者	tsyaeX	tʃiɛ˥˧	
不	pjuw	puʔ(t)	
及	gip	giʔ(p)˩	
也。	yaeX	jiɛ˥˧	
人	nyin	ʒin˩	
莫	mak	mɒʔ(k)˩	
不	pjuw	puʔ(t)	
飲	’imX	ʔim˥˧	
食	zyik	ʃʱiʔ(k)˩	
也。	yaeX	jiɛ˥˧	
鮮	sjenX	siɛn˥˧	【音義】【集註】
能	nong	nəŋ˩	
知	trje	tʃi	
味	mj+jH	vi˨˦	
也。	yaeX	jiɛ˥˧	
子	tsiX	tsɨ˥˧	
曰。	hjwot	jyuɛʔ(t)˩	
道	dawX	daw'˨˦	
其	gi	kʱi˩	
不	pjuw	puʔ(t)	
行	haeng	ɦiŋ˩	
矣	hiX	ji˥˧	
夫。	bju	fʱu˩	【音義】【集註】
子	tsiX	tsɨ˥˧	
曰。	hjwot	jyuɛʔ(t)˩	
舜	sywinH	ʃyun˨˦	
其	gi	kʱi˩	
大	dajH	dai˨˦	
知	trjeH	tʃi˨˦	【音義】【集註】
也	yaeX	jiɛ˥˧	
與。	yo	jy˩	【音義】【集註】
舜	sywinH	ʃyun˨˦	
好	xawH	haw˨˦	【音義】【集註】
問	mjunH	vun˨˦	
以	yiX	ji˥˧	
好	xawH	haw˨˦	【音義】【集註】
察	tsrheat	ʈʂʰaʔ(t)	
邇	nyeX	ɻ˥˧	
言。	ngjon	jiɛn˩	
隱	’j+nX	ʔin˥˧	
惡	’ak	ʔɒʔ(k)	
而	nyi	ɻ˩	
揚	yang	jiɑŋ˩	
善。	dzyenX	ʃʱiɛn'˨˦	
執	tsyip	tʃiʔ(p)	
其	gi	kʱi˩	
兩	ljangX	liɑŋ˥˧	
端。	twan	twɔn	
用	yowngH	jyuŋ˨˦	
其	gi	kʱi˩	
中	trjuwng	tʃyuŋ	
於	’jo	ʔy	
民。	mjin	min˩	
其	gi	kʱi˩	
斯	sje	sɨ	
以	yiX	ji˥˧	
爲	hjwe	ui˩	
舜	sywinH	ʃyun˨˦	
乎。	hu	ɦu˩	
子	tsiX	tsɨ˥˧	
曰。	hjwot	jyuɛʔ(t)˩	
人	nyin	ʒin˩	
皆	keaj	kiai	
曰	hjwot	jyuɛʔ(t)˩	
予	yo	jy˩	
知。	trjeH	tʃi˨˦	【音義】【集註】
驅	khju	kʰy	
而	nyi	ɻ˩	
納	nop	naʔ(p)˩	
諸	tsyo	tʃy	
罟	kuX	ku˥˧	【音義】【集註】
擭	hwaeH	ɦwa˨˦	【音義】【集註】
陷	heamH	ɦiam˨˦	
阱	dzjengX	dziŋ'˨˦	【集註】
之	tsyi	tʃɨ	
中。	trjuwng	tʃyuŋ	
而	nyi	ɻ˩	
莫	mak	mɒʔ(k)˩	
之	tsyi	tʃɨ	
知	trje	tʃi	
辟	bjieH	bi˨˦	【音義】【集註】
也。	yaeX	jiɛ˥˧	
人	nyin	ʒin˩	
皆	keaj	kiai	
曰	hjwot	jyuɛʔ(t)˩	
予	yo	jy˩	
知。	trjeH	tʃi˨˦	【音義】【集註】
擇	draek	ɖʐəʔ(k)˩	
乎	hu	ɦu˩	
中	trjuwng	tʃyuŋ	
庸。	yowng	jyuŋ˩	
而	nyi	ɻ˩	
不	pjuw	puʔ(t)	
能	nong	nəŋ˩	
期	ki	ki	【音義】【集註】
月	ngjwot	(ŋ)yuɛʔ(t)˩	
守	syuwX	ʃiw˥˧	
也。	yaeX	jiɛ˥˧	
子	tsiX	tsɨ˥˧	
曰。	hjwot	jyuɛʔ(t)˩	
回	hwoj	ɦui˩	
之	tsyi	tʃɨ	
爲	hjwe	ui˩	
人	nyin	ʒin˩	
也。	yaeX	jiɛ˥˧	
擇	draek	ɖʐəʔ(k)˩	
乎	hu	ɦu˩	
中	trjuwng	tʃyuŋ	
庸。	yowng	jyuŋ˩	
得	tok	təʔ(k)	
一	’jit	ʔiʔ(t)	
善。	dzyenX	ʃʱiɛn'˨˦	
則	tsok	tsəʔ(k)	
拳	"gjwen/
khjwon"	"kʱyuɛn˩/
kʰyuɛn˧"	【音義】
拳	"gjwen/
khjwon"	"kʱyuɛn˩/
kʰyuɛn˧"	【音義】
服	bjuwk	fʱuʔ(k)˩	
膺	"’ingH/
’ing"	"ʔiŋ˨˦/
ʔiŋ˧"	【音義】
而	nyi	ɻ˩	
弗	pjut	fuʔ(t)	
失	syit	ʃiʔ(t)	
之	tsyi	tʃɨ	
矣。	hiX	ji˥˧	
子	tsiX	tsɨ˥˧	
曰。	hjwot	jyuɛʔ(t)˩	
天	then	tʰiɛn	
下	haeX	ɦia'˨˦	
國	kwok	kwəʔ(k)	
家	kae	kia	
可	khaX	kʰɔ˥˧	
均	kjwin	kyun	
也。	yaeX	jiɛ˥˧	
爵	tsjak	tsiɒʔ(k)	
祿	luwk	luʔ(k)˩	
可	khaX	kʰɔ˥˧	
辭	zi	sʱɨ˩	
也。	yaeX	jiɛ˥˧	
白	baek	bəʔ(k)˩	
刃	nyinH	ʒin˨˦	
可	khaX	kʰɔ˥˧	
蹈	dawH	daw˨˦	【音義】
也。	yaeX	jiɛ˥˧	
中	trjuwng	tʃyuŋ	
庸。	yowng	jyuŋ˩	
不	pjuw	puʔ(t)	
可	khaX	kʰɔ˥˧	
能	nong	nəŋ˩	
也。	yaeX	jiɛ˥˧	
子	tsiX	tsɨ˥˧	
路	luH	lu˨˦	
問	mjunH	vun˨˦	
強。	gjang	kʱiɑŋ˩	【音義】
子	tsiX	tsɨ˥˧	
曰。	hjwot	jyuɛʔ(t)˩	
南	nom	nam˩	
方	pjang	fɑŋ	
之	tsyi	tʃɨ	
強	gjang	kʱiɑŋ˩	【音義】
與。	yo	jy˩	【音義】【集註】
北	pok	pəʔ(k)	
方	pjang	fɑŋ	
之	tsyi	tʃɨ	
強	gjang	kʱiɑŋ˩	【音義】
與。	yo	jy˩	【音義】【集註】
抑	’ik	ʔiʔ(k)	
而	nyi	ɻ˩	
強	gjang	kʱiɑŋ˩	【音義】
與。	yo	jy˩	【音義】【集註】
寬	khwan	kʰwɔn	
柔	nyuw	ʒiw˩	
以	yiX	ji˥˧	
教。	kaew	kiaw	
不	pjuw	puʔ(t)	
報	pawH	paw˨˦	
無	mju	vu˩	
道。	dawX	daw'˨˦	
南	nom	nam˩	
方	pjang	fɑŋ	
之	tsyi	tʃɨ	
強	gjang	kʱiɑŋ˩	【音義】
也。	yaeX	jiɛ˥˧	
君	kjun	kyun	
子	tsiX	tsɨ˥˧	
居	kjo	ky	
之。	tsyi	tʃɨ	
衽	"nyimX/
nyimH"	"ʒim˥˧/
ʒim˨˦"	【音義】
金	kim	kim	
革。	keak	kəʔ(k)	
死	sijX	sɨ˥˧	
而	nyi	ɻ˩	
不	pjuw	puʔ(t)	
厭。	’jiemH	ʔiɛm˨˦	【音義】
北	pok	pəʔ(k)	
方	pjang	fɑŋ	
之	tsyi	tʃɨ	
強	gjang	kʱiɑŋ˩	【音義】
也。	yaeX	jiɛ˥˧	
而	nyi	ɻ˩	
強	gjang	kʱiɑŋ˩	【音義】
者	tsyaeX	tʃiɛ˥˧	
居	kjo	ky	
之。	tsyi	tʃɨ	
故	kuH	ku˨˦	
君	kjun	kyun	
子	tsiX	tsɨ˥˧	
和	hwa	ɦwɔ˩	
而	nyi	ɻ˩	
不	pjuw	puʔ(t)	
流。	ljuw	liw˩	
強	gjang	kʱiɑŋ˩	【音義】
哉	tsoj	tsai	
矯。	kjewX	kiɛw˥˧	【音義】
中	trjuwng	tʃyuŋ	
立	lip	liʔ(p)˩	
而	nyi	ɻ˩	
不	pjuw	puʔ(t)	
倚。	’jeX	ʔi˥˧	【音義】
強	gjang	kʱiɑŋ˩	【音義】
哉	tsoj	tsai	
矯。	kjewX	kiɛw˥˧	【音義】
國	kwok	kwəʔ(k)	
有	hjuwX	jiw˥˧	
道。	dawX	daw'˨˦	
不	pjuw	puʔ(t)	
變	pjenH	piɛn˨˦	
塞	sok	səʔ(k)	
焉。	hjen	jiɛn˩	
強	gjang	kʱiɑŋ˩	【音義】
哉	tsoj	tsai	
矯。	kjewX	kiɛw˥˧	【音義】
國	kwok	kwəʔ(k)	
無	mju	vu˩	
道。	dawX	daw'˨˦	
至	tsyijH	tʃɨ˨˦	
死	sijX	sɨ˥˧	
不	pjuw	puʔ(t)	
變。	pjenH	piɛn˨˦	
強	gjang	kʱiɑŋ˩	【音義】
哉	tsoj	tsai	
矯。	kjewX	kiɛw˥˧	【音義】
子	tsiX	tsɨ˥˧	
曰。	hjwot	jyuɛʔ(t)˩	
素	suH	su˨˦	
隱	’j+nX	ʔin˥˧	
行	haeng	ɦiŋ˩	
怪。	kweajH	kwai˨˦	
後	huwX	ɦəw'˨˦	
世	syejH	ʃi˨˦	
有	hjuwX	jiw˥˧	
述	zywit	ʃʱyʔ(t)˩	
焉。	hjen	jiɛn˩	
吾	ngu	(ŋ)u˩	
弗	pjut	fuʔ(t)	
爲	hjwe	ui˩	
之	tsyi	tʃɨ	
矣。	hiX	ji˥˧	
君	kjun	kyun	
子	tsiX	tsɨ˥˧	
遵	tswin	tsyun	
道	dawX	daw'˨˦	
而	nyi	ɻ˩	
行。	haeng	ɦiŋ˩	
半	panH	pwɔn˨˦	
塗	du	tʱu˩	
而	nyi	ɻ˩	
廢。	pjojH	fi˨˦	
吾	ngu	(ŋ)u˩	
弗	pjut	fuʔ(t)	
能	nong	nəŋ˩	
已	yiX	ji˥˧	
矣。	hiX	ji˥˧	
君	kjun	kyun	
子	tsiX	tsɨ˥˧	
依	’j+j	ʔi	
乎	hu	ɦu˩	
中	trjuwng	tʃyuŋ	
庸。	yowng	jyuŋ˩	
遯	dwonH	dun˨˦	【音義】
世	syejH	ʃi˨˦	
不	pjuw	puʔ(t)	
見	kenH	kiɛn˨˦	
知	trje	tʃi	
而	nyi	ɻ˩	
不	pjuw	puʔ(t)	
悔。	xwojX	hui˥˧	
唯	ywij	vi˩	
聖	syengH	ʃiŋ˨˦	
者	tsyaeX	tʃiɛ˥˧	
能	nong	nəŋ˩	
之。	tsyi	tʃɨ	
君	kjun	kyun	
子	tsiX	tsɨ˥˧	
之	tsyi	tʃɨ	
道。	dawX	daw'˨˦	
費	"bjut/
bj+jH"	"fʱut˩/
fʱi˨˦"	【音義】【集註】
而	nyi	ɻ˩	
隱。	’j+nX	ʔin˥˧	
夫	pju	fu	
婦	bjuwX	fʱəw'˨˦	
之	tsyi	tʃɨ	
愚。	ngju	ŋy˩	
可	khaX	kʰɔ˥˧	
以	yiX	ji˥˧	
與	yoH	jy˨˦	【音義】【集註】
知	trje	tʃi	
焉。	hjen	jiɛn˩	
及	gip	giʔ(p)˩	
其	gi	kʱi˩	
至	tsyijH	tʃɨ˨˦	
也。	yaeX	jiɛ˥˧	
雖	swij	sui	
聖	syengH	ʃiŋ˨˦	
人	nyin	ʒin˩	
亦	yek	jiʔ(k)˩	
有	hjuwX	jiw˥˧	
所	srjoX	ʂu˥˧	
不	pjuw	puʔ(t)	
知	trje	tʃi	
焉。	hjen	jiɛn˩	
夫	pju	fu	
婦	bjuwX	fʱəw'˨˦	
之	tsyi	tʃɨ	
不	pjuw	puʔ(t)	
肖。	sjewH	siɛw˨˦	
可	khaX	kʰɔ˥˧	
以	yiX	ji˥˧	
能	nong	nəŋ˩	
行	haeng	ɦiŋ˩	
焉。	hjen	jiɛn˩	
及	gip	giʔ(p)˩	
其	gi	kʱi˩	
至	tsyijH	tʃɨ˨˦	
也。	yaeX	jiɛ˥˧	
雖	swij	sui	
聖	syengH	ʃiŋ˨˦	
人	nyin	ʒin˩	
亦	yek	jiʔ(k)˩	
有	hjuwX	jiw˥˧	
所	srjoX	ʂu˥˧	
不	pjuw	puʔ(t)	
能	nong	nəŋ˩	
焉。	hjen	jiɛn˩	
天	then	tʰiɛn	
地	dijH	di˨˦	
之	tsyi	tʃɨ	
大	dajH	dai˨˦	
也。	yaeX	jiɛ˥˧	
人	nyin	ʒin˩	
猶	yuw	jiw˩	
有	hjuwX	jiw˥˧	
所	srjoX	ʂu˥˧	
憾。	homH	ɦam˨˦	【音義】
故	kuH	ku˨˦	
君	kjun	kyun	
子	tsiX	tsɨ˥˧	
語	ngjoX	ŋy˥˧	
大。	dajH	dai˨˦	
天	then	tʰiɛn	
下	haeX	ɦia'˨˦	
莫	mak	mɒʔ(k)˩	
能	nong	nəŋ˩	
載	tsojH	tsai˨˦	
焉。	hjen	jiɛn˩	
語	ngjoX	ŋy˥˧	
小。	sjewX	siɛw˥˧	
天	then	tʰiɛn	
下	haeX	ɦia'˨˦	
莫	mak	mɒʔ(k)˩	
能	nong	nəŋ˩	
破	phaH	pʰwɔ˨˦	
焉。	hjen	jiɛn˩	
詩	syi	ʃɨ	
云。	hjun	jyun˩	
鳶	ywen	jyuɛn˩	【音義】【集註】
飛	pj+j	fi	
戾	"lejH/
let"	"li˨˦/
liɛʔ(t)˩"	【音義】
天。	then	tʰiɛn	
魚	ngjo	ŋy˩	
躍	yak	jiɒʔ(k)˩	【音義】
于	hju	jy˩	
淵。	’wen	ʔyuɛn	
言	ngjon	jiɛn˩	
其	gi	kʱi˩	
上	dzyangH	ʃʱiɑŋ˨˦	
下	haeX	ɦia'˨˦	
察	tsrheat	ʈʂʰaʔ(t)	
也。	yaeX	jiɛ˥˧	
君	kjun	kyun	
子	tsiX	tsɨ˥˧	
之	tsyi	tʃɨ	
道。	dawX	daw'˨˦	
造	dzawX	dzaw'˨˦	【音義】
端	twan	twɔn	
夫	pju	fu	
婦。	bjuwX	fʱəw'˨˦	
及	gip	giʔ(p)˩	
其	gi	kʱi˩	
至	tsyijH	tʃɨ˨˦	
也。	yaeX	jiɛ˥˧	
察	tsrheat	ʈʂʰaʔ(t)	
乎	hu	ɦu˩	
天	then	tʰiɛn	
地。	dijH	di˨˦	
子	tsiX	tsɨ˥˧	
曰。	hjwot	jyuɛʔ(t)˩	
道	dawX	daw'˨˦	
不	pjuw	puʔ(t)	
遠	hjwonX	jyuɛn˥˧	
人。	nyin	ʒin˩	
人	nyin	ʒin˩	
之	tsyi	tʃɨ	
爲	hjwe	ui˩	
道	dawX	daw'˨˦	
而	nyi	ɻ˩	
遠	hjwonX	jyuɛn˥˧	
人。	nyin	ʒin˩	
不	pjuw	puʔ(t)	
可	khaX	kʰɔ˥˧	
以	yiX	ji˥˧	
爲	hjwe	ui˩	
道。	dawX	daw'˨˦	
詩	syi	ʃɨ	
云。	hjun	jyun˩	
伐	bjot	fʱaʔ(t)˩	
柯	ka	kɔ	【音義】
伐	bjot	fʱaʔ(t)˩	
柯	ka	kɔ	【音義】
其	gi	kʱi˩	
則	tsok	tsəʔ(k)	
不	pjuw	puʔ(t)	
遠。	hjwonX	jyuɛn˥˧	
執	tsyip	tʃiʔ(p)	
柯	ka	kɔ	【音義】
以	yiX	ji˥˧	
伐	bjot	fʱaʔ(t)˩	
柯	ka	kɔ	【音義】
睨	ngejH	(ŋ)i˨˦	【音義】【集註】
而	nyi	ɻ˩	
視	dzyijX	ʃʱɨ'˨˦	
之。	tsyi	tʃɨ	
猶	yuw	jiw˩	
以	yiX	ji˥˧	
爲	hjwe	ui˩	
遠。	hjwonX	jyuɛn˥˧	
故	kuH	ku˨˦	
君	kjun	kyun	
子	tsiX	tsɨ˥˧	
以	yiX	ji˥˧	
人	nyin	ʒin˩	
治	dri	tʃʱi˩	
人。	nyin	ʒin˩	
改	kojX	kai˥˧	
而	nyi	ɻ˩	
止。	tsyiX	tʃɨ˥˧	
忠	trjuwng	tʃyuŋ	
恕	syoH	ʃy˨˦	
違	hjw+j	ui˩	
道	dawX	daw'˨˦	
不	pjuw	puʔ(t)	
遠。	hjwonX	jyuɛn˥˧	
施	sye	ʃɨ	
諸	tsyo	tʃy	
己	kiX	ki˥˧	
而	nyi	ɻ˩	
不	pjuw	puʔ(t)	
願。	ngjwonH	(ŋ)yuɛn˨˦	
亦	yek	jiʔ(k)˩	
勿	mjut	vuʔ(t)˩	
施	sye	ʃɨ	
於	’jo	ʔy	
人。	nyin	ʒin˩	
君	kjun	kyun	
子	tsiX	tsɨ˥˧	
之	tsyi	tʃɨ	
道	dawX	daw'˨˦	
四。	sijH	sɨ˨˦	
丘	khjuw	kʰiw	
未	mj+jH	vi˨˦	
能	nong	nəŋ˩	
一	’jit	ʔiʔ(t)	
焉。	hjen	jiɛn˩	
所	srjoX	ʂu˥˧	
求	gjuw	kʱiw˩	
乎	hu	ɦu˩	
子。	tsiX	tsɨ˥˧	
以	yiX	ji˥˧	
事	dzriH	ʂʱɨ˨˦	
父。	bjuX	fʱu'˨˦	
未	mj+jH	vi˨˦	
能	nong	nəŋ˩	
也。	yaeX	jiɛ˥˧	
所	srjoX	ʂu˥˧	
求	gjuw	kʱiw˩	
乎	hu	ɦu˩	
臣。	dzyin	tʃʱin˩	
以	yiX	ji˥˧	
事	dzriH	ʂʱɨ˨˦	
君。	kjun	kyun	
未	mj+jH	vi˨˦	
能	nong	nəŋ˩	
也。	yaeX	jiɛ˥˧	
所	srjoX	ʂu˥˧	
求	gjuw	kʱiw˩	
乎	hu	ɦu˩	
弟。	dejX	di'˨˦	
以	yiX	ji˥˧	
事	dzriH	ʂʱɨ˨˦	
兄。	xjwaeng	hyuəŋ	
未	mj+jH	vi˨˦	
能	nong	nəŋ˩	
也。	yaeX	jiɛ˥˧	
所	srjoX	ʂu˥˧	
求	gjuw	kʱiw˩	
乎	hu	ɦu˩	
朋	bong	pʱəŋ˩	
友	hjuwX	jiw˥˧	
先	sen	siɛn	
施	sye	ʃɨ	
之。	tsyi	tʃɨ	
未	mj+jH	vi˨˦	
能	nong	nəŋ˩	
也。	yaeX	jiɛ˥˧	
庸	yowng	jyuŋ˩	
德	tok	təʔ(k)	
之	tsyi	tʃɨ	
行。	haeng	ɦiŋ˩	
庸	yowng	jyuŋ˩	
言	ngjon	jiɛn˩	
之	tsyi	tʃɨ	
謹。	kj+nX	kin˥˧	
有	hjuwX	jiw˥˧	
所	srjoX	ʂu˥˧	
不	pjuw	puʔ(t)	
足。	tsjowk	tsyuʔ(k)	
不	pjuw	puʔ(t)	
敢	kamX	kam˥˧	
不	pjuw	puʔ(t)	
勉。	mjenX	miɛn˥˧	
有	hjuwX	jiw˥˧	
餘。	yo	jy˩	
不	pjuw	puʔ(t)	
敢	kamX	kam˥˧	
盡。	dzinX	dzin'˨˦	
言	ngjon	jiɛn˩	
顧	kuH	ku˨˦	
行。	"haengH/
haeng"	"ɦiŋ˨˦/
ɦiŋ˩"	【音義】
行。	"haengH/
haeng"	"ɦiŋ˨˦/
ɦiŋ˩"	【音義】
顧	kuH	ku˨˦	
言。	ngjon	jiɛn˩	
君	kjun	kyun	
子	tsiX	tsɨ˥˧	
胡	hu	ɦu˩	
不	pjuw	puʔ(t)	
慥	tshawH	tsʰaw˨˦	【音義】
慥	tshawH	tsʰaw˨˦	【音義】
爾。	nyeX	ɻ˥˧	
君	kjun	kyun	
子	tsiX	tsɨ˥˧	
素	suH	su˨˦	
其	gi	kʱi˩	
位	hwijH	ui˨˦	
而	nyi	ɻ˩	
行。	haeng	ɦiŋ˩	
不	pjuw	puʔ(t)	
願	ngjwonH	(ŋ)yuɛn˨˦	
乎	hu	ɦu˩	
其	gi	kʱi˩	
外。	ngwajH	(ŋ)wai˨˦	
素	suH	su˨˦	
富	pjuwH	fəw˨˦	
貴	kjw+jH	kui˨˦	
行	haeng	ɦiŋ˩	
乎	hu	ɦu˩	
富	pjuwH	fəw˨˦	
貴。	kjw+jH	kui˨˦	
素	suH	su˨˦	
貧	bin	pʱin˩	
賤	dzjenH	dziɛn˨˦	
行	haeng	ɦiŋ˩	
乎	hu	ɦu˩	
貧	bin	pʱin˩	
賤。	dzjenH	dziɛn˨˦	
素	suH	su˨˦	
夷	yij	ji˩	
狄	dek	diʔ(k)˩	
行	haeng	ɦiŋ˩	
乎	hu	ɦu˩	
夷	yij	ji˩	
狄。	dek	diʔ(k)˩	
素	suH	su˨˦	
患	hwaenH	ɦwan˨˦	
難	nanH	nan˨˦	【音義】【集註】
行	haeng	ɦiŋ˩	
乎	hu	ɦu˩	
患	hwaenH	ɦwan˨˦	
難。	nanH	nan˨˦	【音義】【集註】
君	kjun	kyun	
子	tsiX	tsɨ˥˧	
無	mju	vu˩	
入	nyip	ʒiʔ(p)˩	
而	nyi	ɻ˩	
不	pjuw	puʔ(t)	
自	dzijH	dzɨ˨˦	
得	tok	təʔ(k)	
焉。	hjen	jiɛn˩	
在	dzojX	dzai'˨˦	
上	dzyangH	ʃʱiɑŋ˨˦	
位	hwijH	ui˨˦	
不	pjuw	puʔ(t)	
陵	ling	liŋ˩	
下。	haeX	ɦia'˨˦	
在	dzojX	dzai'˨˦	
下	haeX	ɦia'˨˦	
位	hwijH	ui˨˦	
不	pjuw	puʔ(t)	
援	hjwon	jyuɛn˩	【音義】【集註】
上。	dzyangH	ʃʱiɑŋ˨˦	
正	tsyeng	tʃiŋ	
己	kiX	ki˥˧	【音義】
