#《禮記·大學》中古音及中州音
# 多音字及通假字擇音遵《禮記正義》及《四書章句集註》
# version: 20190514
# author: hhliow (github.com/hhliow)
# license: cc by-nc-sa 4.0
char	middle_chinese	mandarin
竹	trjuwk	tʃyuʔ(k)
猗	'je	ʔi
猗。	'je	ʔi
有	hjuwX	jiow˥˧
斐	phj+jX	fi˥˧
君	kjun	kyun
子。	tsiX	tsɨ˥˧
如	nyo	ʒy˩
切	tshet	tsʰiɛʔ(t)
如	nyo	ʒy˩
磋。	tsha	tsʰɔ
如	nyo	ʒy˩
琢	traewk	tʂɒʔ(k)
如	nyo	ʒy˩
磨。	ma	mwɔ˩
瑟	srit	ʂəʔ(t)
兮	hej	ɦiei˩
僩	haenX	ɦian'˨˦
兮。	hej	ɦiei˩
赫	xaek	həʔ(k)
兮	hej	ɦiei˩
喧	xjwonX	hyuɛn˥˧
兮。	hej	ɦiei˩
有	hjuwX	jiow˥˧
斐	phj+jX	fi˥˧
君	kjun	kyun
子。	tsiX	tsɨ˥˧
終	tsyuwng	tʃyuŋ
不	pjuw	puʔ(t)
可	khaX	kʰɔ˥˧
諠	xjwonX	hyuɛn˥˧
兮。	hej	ɦiei˩
如	nyo	ʒy˩
切	tshet	tsʰiɛʔ(t)
如	nyo	ʒy˩
磋	tsha	tsʰɔ
者。	tsyaeX	tʃiɛ˥˧
道	dawX	daw'˨˦
學	haewk	ɦiɒʔ(k)˩
也。	yaeX	jiɛ˥˧
如	nyo	ʒy˩
琢	traewk	tʂɒʔ(k)
如	nyo	ʒy˩
磨	ma	mwɔ˩
者。	tsyaeX	tʃiɛ˥˧
自	dzijH	dzɨ˨˦
脩	sjuw	siow
也。	yaeX	ji˥˧
瑟	srit	ʂəʔ(t)
兮	hej	ɦiei˩
僩	haenX	ɦian'˨˦
兮	hej	ɦiei˩
者。	tsyaeX	tʃiɛ˥˧
恂	swin(H)	syun˨˦
慄	lit	liʔ(t)˩
也。	yaeX	jiɛ˥˧
赫	xaek	həʔ(k)
兮	hej	ɦiei˩
喧	xjwonX	hyuɛn˥˧
兮	hej	ɦiei˩
者。	tsyaeX	tʃiɛ˥˧
威	'jw+j	ʔui
儀	ngje	ji˩
也。	yaeX	jiɛ˥˧
有	hjuwX	jiow˥˧
斐	phj+jX	fi˥˧
君	kjun	kyun
子。	tsiX	tsɨ˥˧
終	tsyuwng	tʃyuŋ
不	pjuw	puʔ(t)
可	khaX	kʰɔ˥˧
諠	xjwonX	hyuɛn˥˧
兮	hej	ɦiei˩
者。	tsyaeX	tʃiɛ˥˧
道	dawX	daw'˨˦
盛	dzyengH	ʃʱiŋ˨˦
德	tok	təʔ(k)
至	tsyijH	tʃɨ˨˦
善。	dzyenX	ʃʱiɛn'˨˦
民	mjin	min˩
之	tsyi	tʃɨ
不	pjut	puʔ(t)
能	nong	nəŋ˩
忘	mjangH	vɑŋ˨˦
也。	yaeX	jiɛ˥˧
詩	syi	ʃɨ
云。	hjun	yun˩
於	'u	ʔu
戲	xu	hu
前	dzen	tsʰiɛn˩
王	hjwang	wɑŋ˩
不	pjuw	puʔ(t)
忘。	mjangH	vɑŋ˨˦
君	kjun	kyun
子	tsiX	tsɨ˥˧
賢	hen	ɦiɛn˩
其	gi	kʰi˩
賢	hen	ɦiɛn˩
而	nyi	ɻ˩
親	tshin	tsʰin
其	gi	kʰi˩
親。	tshin	tsʰin
小	sjewX	siɛw˥˧
人	nyin	ʒin˩
樂	lak	lɒʔ(k)˩
其	gi	kʰi˩
樂	lak	lɒʔ(k)˩
而	nyi	ɻ˩
利	lijH	li˨˦
其	gi	kʰi˩
利。	lijH	li˨˦
此	tshjeX	tsʰɨ˥˧
以	yiX	ji˥˧
沒	mwot	muʔ(t)˩
世	syejH	ʃiei˨˦
不	pjut	puʔ(t)
忘	mjangH	vɑŋ˨˦
也。	yaeX	jiɛ˥˧
康	khang	kʰɑŋ
誥	kawH	kaw˨˦
曰。	hjwot	yuɛʔ(t)˩
克	khok	kʰəʔ(k)
明	mjaeng	miŋ˩
德。	tok	təʔ(k)
太	thajH	tʰai˨˦
甲	kaep	kiaʔ(p)
曰。	hjwot	yuɛʔ(t)˩
顧	kuH	ku˨˦
諟	dzyeX	ʃʱi'˨˦
天	then	tʰiɛn
之	tsyi	tʃɨ
明	mjaeng	miŋ˩
命。	mjaengH	miŋ˨˦
帝	tejH	ti˨˦
典	tenX	tiɛn˥˧
曰。	hjwot	yuɛʔ(t)˩
克	khok	kʰəʔ(k)
明	mjaeng	miŋ˩
峻	swinH	syun˨˦
德。	tok	təʔ(k)
皆	keaj	kiai
自	dzijH	dzɨ˨˦
明	mjaeng	miŋ˩
也。	yaeX	jiɛ˥˧
湯	thang	tʰɑŋ
之	tsyi	tʃɨ
盤	ban	pʰwɔn˩
銘	meng	miŋ˩
曰。	hjwot	yuɛʔ(t)˩
苟	kuwX	kow˥˧
日	nyit	ʒiʔ(t)˩
新。	sin	sin
日	nyit	ʒiʔ(t)˩
日	nyit	ʒiʔ(t)˩
新。	sin	sin
又	hjuwH	jiow˨˦
日	nyit	ʒiʔ(t)˩
新。	sin	sin
康	khang	kʰɑŋ
誥	kawH	kaw˨˦
曰。	hjwot	yuɛʔ(t)˩
作	tsak	tsɒʔ(k)
新	sin	sin
民。	mjin	min˩
詩	syi	ʃɨ
曰。	hjwot	yuɛʔ(t)˩
周	tsyuw	tʃiow
雖	swij	sui
舊	gjuwH	giow˨˦
邦。	paewng	pɑŋ
其	gi	kʰi˩
命	mjaengH	miŋ˨˦
惟	ywij	vi˩
新。	sin	sin
是	dzyeX	ʃʱi'˨˦
故	kuH	ku˨˦
君	kjun	kyun
子	tsiX	tsɨ˥˧
無	mju	vu˩
所	srjoX	ʂu˥˧
不	pjuw	puʔ(t)
用	yowngH	jyuŋ˨˦
其	gi	kʰi˩
極。	gik	giʔ(k)˩
詩	syi	ʃɨ
云。	hjun	yun˩
邦	paewng	pɑŋ
畿	gj+j	kʰi˩
千	tshen	tsʰiɛn
里。	liX	li˥˧
惟	ywij	vi˩
民	mjin	min˩
所	srjoX	ʂu˥˧
止。	tsyiX	tʃɨ˥˧
詩	syi	ʃɨ
云。	hjun	yun˩
緡	min/mjien	miɛn˩
蠻	maen	man˩
黃	hwang	ɦwɑŋ˩
鳥。	tewX	niɛw˥˧
止	tsyiX	tʃɨ˥˧
于	hju	jy˩
丘	khjuw	kʰiow
隅。	ngju	ŋy˩
子	tsiX	tsɨ˥˧
曰。	hjwot	yuɛʔ(t)˩
于	hju	jy˩
止。	tsyiX	tʃɨ˥˧
知	trje	tʃi
其	gi	kʰi˩
所	srjoX	ʂu˥˧
止。	tsyiX	tʃɨ˥˧
可	khaX	kʰɔ˥˧
以	yiX	ji˥˧
人	nyin	ʒin˩
而	nyi	ɻ˩
不	pjuw	puʔ(t)
如	nyo	ʒy˩
鳥	tewX	niɛw˥˧
乎。	hu	ɦu˩
詩	syi	ʃɨ
云。	hjun	yun˩
穆	mjuwk	muʔ(k)˩
穆	mjuwk	muʔ(k)˩
文	mjun	vun˩
王。	hjwang	wɑŋ˩
於	'u	ʔu
緝	tship	tsʰiʔ(p)
熙	xi	hi
敬	kjaengH	kiŋ˨˦
止。	tsyiX	tʃɨ˥˧
爲	hjwe	ui˩
人	nyin	ʒin˩
君	kjun	kyun
止	tsyiX	tʃɨ˥˧
于	hju	jy˩
仁。	nyin	ʒin˩
爲	hjwe	ui˩
人	nyin	ʒin˩
臣	dzyin	tʃʰin˩
止	tsyiX	tʃɨ˥˧
于	hju	jy˩
敬。	kjaengH	kiŋ˨˦
爲	hjwe	ui˩
人	nyin	ʒin˩
子	tsiX	tsɨ˥˧
止	tsyiX	tʃɨ˥˧
于	hju	jy˩
孝。	xaewH	hiaw˨˦
爲	hjwe	ui˩
人	nyin	ʒin˩
父	bjuX	fʱu'˨˦
止	tsyiX	tʃɨ˥˧
于	hju	jy˩
慈。	dzi	tsʰɨ˩
與	yoX	ʔy˥˧
國	kwok	kwəʔ(k)
人	nyin	ʒin˩
交	kaew	kiaw
止	tsyiX	tʃɨ˥˧
于	hju	jy˩
信。	sinH	sin˨˦
子	tsiX	tsɨ˥˧
曰。	hjwot	yuɛʔ(t)˩
聽	theng(H)	tʰiŋ˨˦
訟	zjowngH	sʱyuŋ˨˦
吾	ngu	ŋu˩
猶	yuw	jiow˩
人	nyin	ʒin˩
也。	yaeX	jiɛ˥˧
必	pjit	piʔ(t)
也	yaeX	jiɛ˥˧
使	sriX	ʂɨ˥˧
無	mju	vu˩
訟	zjowngH	sʱyuŋ˨˦
乎。	hu	ɦu˩
無	mju	vu˩
情	dzjeng	tsʰiŋ˩
者	tsyaeX	tʃiɛ˥˧
不	pjuw	puʔ(t)
得	tok	təʔ(k)
盡	dzinX	dzin'˨˦
其	gi	kʰi˩
辭。	zi	sʱɨ˩
大	dajH	dai˨˦
畏	'jw+jH	ʔui˨˦
民	mjin	min˩
志。	tsyiH	tʃɨ˨˦
此	tshjeX	tsʰɨ˥˧
謂	hjw+jH	ui˨˦
知	trje	tʃi
本。	pwonX	pun˥˧
所	srjoX	ʂu˥˧
謂	hjw+jH	ui˨˦
脩	sjuw	siow
身	syin	ʃin
在	dzojX	dzai'˨˦
正	tsyengH	tʃiŋ˨˦
其	gi	kʰi˩
心	sim	sim
者。	tsyaeX	tʃiɛ˥˧
身	syin	ʃin
有	hjuwX	jiow˥˧
所	srjoX	ʂu˥˧
忿	phjunX	fun˥˧
懥。	trijH	tʃi˨˦
則	tsok	tsəʔ(k)
不	pjuw	puʔ(t)
得	tok	təʔ(k)
其	gi	kʰi˩
正。	tsyengH	tʃiŋ˨˦
有	hjuwX	jiow˥˧
所	srjoX	ʂu˥˧
恐	khjowngX	kʰyuŋ˥˧
懼。	gjuH	gy˨˦
則	tsok	tsəʔ(k)
不	pjuw	puʔ(t)
得	tok	təʔ(k)
其	gi	kʰi˩
正。	tsyengH	tʃiŋ˨˦
有	hjuwX	jiow˥˧
所	srjoX	ʂu˥˧
好	xawH	haw˨˦
樂。	ngaewH	ŋiaw˨˦
則	tsok	tsəʔ(k)
不	pjuw	puʔ(t)
得	tok	təʔ(k)
其	gi	kʰi˩
正。	tsyengH	tʃiŋ˨˦
有	hjuwX	jiow˥˧
所	srjoX	ʂu˥˧
憂	'juw	ʔiow
患。	hwaenH	ɦwan˨˦
則	tsok	tsəʔ(k)
不	pjuw	puʔ(t)
得	tok	təʔ(k)
其	gi	kʰi˩
正。	tsyengH	tʃiŋ˨˦
心	sim	sim
不	pjuw	puʔ(t)
在	dzojX	dzai'˨˦
焉。	hjen	jiɛn˩
視	dzyijX	ʃʱi'˨˦
而	nyi	ɻ˩
不	pjut	puʔ(t)
見。	kenH	kiɛn˨˦
聽	theng	tʰiŋ
而	nyi	ɻ˩
不	pjut	puʔ(t)
聞。	mjun	vun˩
食	zyik	ʃʱiʔ(k)˩
而	nyi	ɻ˩
不	pjuw	puʔ(t)
知	trje	tʃi
其	gi	kʰi˩
味。	mj+jH	vi˨˦
此	tshjeX	tsʰɨ˥˧
謂	hjw+jH	ui˨˦
脩	sjuw	siow
身	syin	ʃin
在	dzojX	dzai'˨˦
正	tsyengH	tʃiŋ˨˦
其	gi	kʰi˩
心。	sim	sim
所	srjoX	ʂu˥˧
謂	hjw+jH	ui˨˦
齊	dzej	tsʰi˩
其	gi	kʰi˩
家	kae	kia
在	dzojX	dzai'˨˦
脩	sjuw	siow
其	gi	kʰi˩
身	syin	ʃin
者。	tsyaeX	tʃiɛ˥˧
人	nyin	ʒin˩
之	tsyi	tʃi
其	gi	kʰi˩
所	srjoX	ʂu˥˧
親	tshin	tsʰin
愛	'ojH	ʔai˨˦
而	nyi	ɻ˩
辟	phjiek/H	pʰik/pʰi˨˦
焉。	hjen	jiɛn˩
之	tsyi	tʃɨ
其	gi	kʰi˩
所	srjoX	ʂu˥˧
賤	dzjenH	dziɛn˨˦
惡	'uH	ʔu˨˦
而	nyi	ɻ˩
辟	phjiek/H	pʰik/pʰi˨˦
焉。	hjen	jiɛn˩
之	tsyi	tʃɨ
其	gi	kʰi˩
所	srjoX	ʂu˥˧
畏	'jw+jH	ʔui˨˦
敬	kjaengH	kiŋ˨˦
而	nyi	ɻ˩
辟	phjiek/H	pʰik/pʰi˨˦
焉。	hjen	jiɛn˩
之	tsyi	tʃɨ
其	gi	kʰi˩
所	srjoX	ʂu˥˧
哀	'oj	ʔai
矜	king	kiŋ
而	nyi	ɻ˩
辟	phjiek/H	pʰik/pʰi˨˦
焉。	hjen	jiɛn˩
之	tsyi	tʃɨ
其	gi	kʰi˩
所	srjoX	ʂu˥˧
敖	ngawH	ŋaw˨˦
惰	dwaH	dwɔ˨˦
而	nyi	ɻ˩
辟	phjiek/H	pʰik/pʰi˨˦
焉。	hjen	jiɛn˩
故	kuH	ku˨˦
好	xawH	haw˨˦
而	nyi	ɻ˩
知	trje	tʃi
其	gi	kʰi˩
惡。	'ak	ʔɒʔ(k)
惡	'uH	ʔu˨˦
而	nyi	ɻ˩
知	trje	tʃi
其	gi	kʰi˩
美	mijX	mui˥˧
者。	tsyaeX	tʃiɛ˥˧
天	then	tʰiɛn
下	haeX	ɦia'˨˦
鮮	sjenX	siɛn˥˧
矣。	hiX	ji˥˧
故	kuH	ku˨˦
諺	ngjenH	ŋiɛn˨˦
有	hjuwX	jiow˥˧
之	tsyi	tʃɨ
曰。	hjwot	yuɛʔ(t)˩
人	nyin	ʒin˩
莫	mak	mɒʔ(k)˩
知	trje	tʃi
其	gi	kʰi˩
子	tsiX	tsɨ˥˧
之	tsyi	tʃɨ
惡。	'ak	ʔɒʔ(k)
莫	mak	mɒʔ(k)˩
知	trje	tʃi
其	gi	kʰi˩
苗	mjew	miɛw˩
之	tsyi	tʃɨ
碩。	dzyek	ʃʱiʔ(k)˩
此	tshjeX	tsʰɨ˥˧
謂	hjw+jH	ui˨˦
身	syin	ʃin
不	pjuw	puʔ(t)
脩。	sjuw	siow
不	pjuw	puʔ(t)
可	khaX	kʰɔ˥˧
以	yiX	ji˥˧
齊	dzej	tsʰi˩
其	gi	kʰi˩
家。	kae	kia
所	srjoX	ʂu˥˧
謂	hjw+jH	ui˨˦
治	dri/driH	tʃʰi˩/dʒi˨˦
國	kwok	kwəʔ(k)
必	pjit	piʔ(t)
先	sen	siɛn
齊	dzej	tsʰi˩
其	gi	kʰi˩
家	kae	kia
者。	tsyaeX	tʃiɛ˥˧
其	gi	kʰi˩
家	kae	kia
不	pjuw	puʔ(t)
可	khaX	kʰɔ˥˧
教。	kaew	kiaw
而	nyi	ɻ˩
能	nong	nəŋ˩
教	kaew	kiaw
人	nyin	ʒin˩
者	tsyaeX	tʃiɛ˥˧
無	mju	vu˩
之。	tsyi	tʃɨ
故	kuH	ku˨˦
君	kjun	kyun
子	tsiX	tsɨ˥˧
不	pjuw	puʔ(t)
出	tsyhwit	tʃʰyʔ(t)
家	kae	kia
而	nyi	ɻ˩
成	dzyeng	tʃʰiŋ˩
教	kaewH	kiaw˨˦
於	'jo	ʔy
國。	kwok	kwəʔ(k)
孝	xaewH	hiaw˨˦
者	tsyaeX	tʃiɛ˥˧
所	srjoX	ʂu˥˧
以	yiX	ji˥˧
事	dzriH	ʂʱɨ˨˦
君	kjun	kyun
也。	yaeX	jiɛ˥˧
弟	dejH	di˨˦
者	tsyaeX	tʃiɛ˥˧
所	srjoX	ʂu˥˧
以	yiX	ji˥˧
事	dzriH	ʂʱɨ˨˦
長	trjangX	tʃiɑŋ˥˧
也。	yaeX	jiɛ˥˧
慈	dzi	tsʰɨ˩
者	tsyaeX	tʃiɛ˥˧
所	srjoX	ʂu˥˧
以	yiX	ji˥˧
使	sriX	ʂɨ˥˧
眾	tsyuwngH	tʃyuŋ˨˦
也。	yaeX	jiɛ˥˧
康	khang	kʰɑŋ
誥	kawH	kaw˨˦
曰。	hjwot	yuɛʔ(t)˩
如	nyo	ʒy˩
保	pawX	paw˥˧
赤	tsyhek	tʃʰiʔ(k)
子。	tsiX	tsɨ˥˧
心	sim	sim
誠	dzyeng	tʃʰiŋ˩
求	gjuw	kʰiow˩
之。	tsyi	tʃɨ
雖	swij	sui
不	pjuw	puʔ(t)
中	trjuwngH	tʃyuŋ˨˦
不	pjuw	puʔ(t)
遠	hjwonX	yuɛn˥˧
矣。	hiX	ji˥˧
未	mj+jH	vi˨˦
有	hjuwX	jiow˥˧
學	haewk	ɦiɒʔ(k)˩
養	yangX	jiɑŋ˥˧
子	tsiX	tsɨ˥˧
而	nyi	ɻ˩
後	huwX	ɦow'˨˦
嫁	kaeH	kia˨˦
者	tsyaeX	tʃiɛ˥˧
也。	yaeX	jiɛ˥˧
一	'jit	ʔiʔ(t)
家	kae	kia
仁。	nyin	ʒin˩
一	'jit	ʔiʔ(t)
國	kwok	kwəʔ(k)
興	xing	hiŋ
仁。	nyin	ʒin˩
一	'jit	ʔiʔ(t)
家	kae	kia
讓。	nyangH	ʒiɑŋ˨˦
一	'jit	ʔiʔ(t)
國	kwok	kwəʔ(k)
興	xing	hiŋ
讓。	nyangH	ʒiɑŋ˨˦
一	'jit	ʔiʔ(t)
人	nyin	ʒin˩
貪	thom	tʰam
戾。	lejH	liei˨˦
